Program (original),Activity (original),POE,Conveyance,Conveyance subtype,pathway type,Container_edge,Pathway,Subpathway,Notes,quantification_purpose,Activity1,Activity2,Activity3,Activity4,Activity.description,Activity.description.formula,program.subcat,land.border.passenger.program,passenger.pathway
Pre-Clearance,Pre-Clearance QMIs Swine,Pre-Clearance,Aircraft,passenger,passenger pathway,baggage,swine_products_byproducts,personal_use_consumption,,interception_or_violation,,,,Animal QMIs,Animal QMIs,,Passenger,N/A,Airport Passenger
Pre-Clearance,Pre-Clearance QMIs Swine Byproduct,Pre-Clearance,Aircraft,passenger,passenger pathway,baggage,swine_products_byproducts,personal_use_consumption,,interception_or_violation,,,,Animal QMIs,Animal QMIs,,Passenger,N/A,Airport Passenger
Pre-Clearance,Pre-Clearance Soil QMIs,Pre-Clearance,Aircraft,passenger,passenger pathway,baggage,fomite,personal_effects,,interception_or_violation,,,,Soil QMIs,Soil QMIs,,Passenger,N/A,Airport Passenger
Pre-departure,Predeparture USVI Total Pest Interceptions Submitted - Baggage,Pre-departure,Aircraft,passenger,non-passenger pathway,baggage,na,,,,,,,Total Pest Interceptions Submitted,Total Pest Interceptions,,Passenger,N/A,Airport Passenger
Maritime,"QMIs, Plant, Cargo",Maritime,commercial,cargo,passenger pathway,baggage,na,,,,"QMIs, Plant, Cargo",non-passenger related,non-passenger related,non-passenger related,Record the number of plant QMIs intercepted from maritime cargo inspections.,Record the number of plant QMIs intercepted from maritime cargo inspections.,Cargo,N/A,N/A
Pre-departure,"QMIs, Plant, PreDeparture Baggage",Pre-departure,Aircraft,passenger,non-passenger pathway,baggage,na,,,,,,,Plant QMIs,Plant QMIs,,Passenger,N/A,Airport Passenger
Pre-departure,"QMIs, Plant, USVI PreDeparture Baggage",Pre-departure,Aircraft,passenger,non-passenger pathway,baggage,na,,,,,,,Plant QMIs,Plant QMIs,,Passenger,N/A,Airport Passenger
Maritime,Regulatory - AGM Vessel Inspections,Maritime,unspecified,unspecified,passenger pathway,conveyance,na,,,,Regulatory - AGM Vessel Inspections,non-passenger related,non-passenger related,non-passenger related,Record the number of vessels inspected for the presence of Asian Gypsy Moth AGM.,Record the number of vessels inspected for the presence of Asian Gypsy Moth AGM.,Vessel,N/A,N/A
Predeparture,"Reportable Pest from PR, HI",Maritime,unspecified,unspecified,passenger pathway,conveyance,na,,,,,,,,,,?,N/A,?
Pre-departure,"Reportable Pest, Baggage",Pre-departure,Aircraft,passenger,non-passenger pathway,baggage,na,,,,,,,Total Pest Interceptions Submitted,Total Pest Interceptions,,Passenger,N/A,Airport Passenger
Predeparture,"Ship Inspections, domestic",Maritime,unspecified,unspecified,passenger pathway,conveyance,na,,,,"Ship Inspections, domestic",non-passenger related,non-passenger related,non-passenger related,Report the number of inspected domestic (Q-13 or Q-58) Hawaii and Puerto Rico-only (round trips) vessels.,Report the number of inspected domestic (Q-13 or Q-58) Hawaii and Puerto Rico-only (round trips) vessels.,Vessel,N/A,N/A
Predeparture,Treatments Other (Non-fumigation),Maritime,unspecified,unspecified,passenger pathway,cargo_shipment,na,,,,Treatments Other (Non-fumigation),non-passenger related,non-passenger related,non-passenger related,"Record the number of other treatments performed on cargo which departed Puerto Rico, Virgin Islands, or Hawaii and arrived in the mainland United States. This includes cleaning/disinfection of vehicles or crating, removing rice straw, washing (steam-cleaning) dirty vehicles, soil removal, etc.","Record the number of other treatments performed on cargo which departed Puerto Rico, Virgin Islands, or Hawaii and arrived in the mainland United States. This includes cleaning/disinfection of vehicles or crating, removing rice straw, washing (steam-cleaning) dirty vehicles, soil removal, etc.",?,N/A,N/A
Pre-departure,"Violations, Pre-departure Passenger/Crew",Pre-departure,Aircraft,passenger,non-passenger pathway,baggage,na,,,,,,,number of people issued violations (PPQ518),number of people issued civil penalties (CBP-AI Form 591) or violations (PPQ518),,Passenger,N/A,Airport Passenger
